Date,ARTIST,TITLE,Flare,,Bavo,Lennert,Vince,Mattis,Wennie,Jasper,Sander,Sienie,Femke,Kato,Daan,Sam H.,Marc,Joppe,Eef,Nancy,Benoit,Hasse,Azra,Leonie,Eliah,Tinne,Jordy,Sam V.H.,Sebastiaan,Natasha,Niels,Sara
1-1-2021,Anavitória,COR,ZACHT,"7,0","6,5",8,7,"6,5",8,"5,5",8,"7,5","7,5",6,,,7,,,6,,,,,,,,,,,,
1-1-2021,Another Sky,Music For Winter Vol. 1,ZACHT,"7,4","7,5","7,6",7,"7,5","8,5",,"8,2","8,5",6,7,,,,,,6,,,,,,,,,,,,
1-1-2021,Basic Bitches,Go To The Movies,HARD,"3,9",3,,3,4,"4,5",,3,,4,3,,,,,,7,,,,,,,,,,,,
1-1-2021,Dylan Warfel,Girlsmakemenervous,GEK,"4,7",,,5,7,,4,"6,3",3,2,3,,,,,,5,7,,,,,,,,,,,
1-1-2021,Graeme James,The Weight of Many Winters,ZACHT,"6,8",,"6,9",6,"6,5",,,,7,"7,5","7,5","6,5",,,,,,,,,,,,,,,,,
1-1-2021,Juan Bond,Womb,HARD,"5,0",,,5,2,"7,5",,6,"6,5",5,5,,,,,,1,7,,,,,,,,,,,
1-1-2021,R.A.P. Ferreira,Bob's Son,ZACHT,"6,1","8,5","8,1",6,"7,5",,,"6,5",5,6,4,,,,,,3,,,,,,,,,,,,
1-1-2021,Swallowtail,The Bloom / The Blossom,GEK,"5,8",,,,8,6,,6,"6,5",5,3,,,,,,,,,,,,,,,,,,
1-1-2021,The Dirty Nil,Fuck Art,HARD,"7,2",3,"7,5",7,8,"8,5","7,5",7,8,8,8,,,"6,5",,,8,6,,,,,,,,,,,
1-1-2021,Yung Pinch,Washed Ashore,DANS,"5,4",,"5,5",6,"7,5",,,,3,5,"5,5",,,,,,,,,,,,,,,,,,
2-1-2021,In The Pines,Slow Blink,ZACHT,"6,9",,"6,8",6,9,,,,7,6,6,"7,5",,,,,,,,,,,,,,,,,
4-1-2021,Celestial Swarm,Gateways to the Necroverse,HARD,"3,3",,6,,,,,,,3,,,,,,,1,,,,,,,,,,,,
4-1-2021,Steve Earle & The Dukes,J.T.,DANS,"6,1",,"6,5",5,6,,,,"5,5",7,"6,5",,,,,,,,,,,,,,,,,,
4-1-2021,Tori Dake & Iorie,Jiyū,DANS,"7,1",,"6,5",6,9,,,8,"7,5","7,5",,,,5,,,,,,,,,,,,,,,
6-1-2021,Gates Of Doom,Aquileia Mater Aeterna,HARD,"4,8",,"5,5",4,,,,,,5,,,,,,,,,,,,,,,,,,,
7-1-2021,Burn Water,Angel,ZACHT,"7,2",,,,,6,,8,,"7,5",,,,,,,,,,,,,,,,,,,
7-1-2021,Froukje ,Licht & donker (EP),DANS,"8,1",9,"9,2",7,9,,8,"7,5","7,5","8,5",7,,,"7,8",,,,,"8,7",,,,,,,,,,
8-1-2021,Aaron Frazer,Introducing...,,"7,1",,"7,5",7,"6,5",,"7,5",,,7,6,,,,,"8,5",,,,,,,,,,,,,
8-1-2021,Barry Gibb,Greenfields,DANS,"6,7",,,,6,,,,,8,6,,,,,,,,,,,,,,,,,,
8-1-2021,Casper Clausen,Better Way,DANS,"6,0",,7,4,"8,5",5,,,,"5,5",,,,,,,,,,,,,,,,,,,
8-1-2021,Henrik Appel,Humanity,ZACHT,"6,7",,7,7,7,,,,6,"6,5",,,,,,,,,,,,,,,,,,,
8-1-2021,Jazmine Sullivan,Heaux Tales,DANS,"6,9",8,"7,5",7,5,,,"7,5",5,8,7,,,,,,,,,,,,,,,,,,
8-1-2021,Magnum,Dance of the Black Tattoo,HARD,"7,3",,,,8,,,6,,8,7,,,6,,,"8,5",,,,,,,,,,,,
8-1-2021,Mermaid in China,Wild and Pretty Games,ZACHT,"7,2",,"7,5",6,7,"7,5",,,"7,5","7,5",,,,,,,,,,,,,,,,,,,
8-1-2021,Morgan Wallen,Dangerous: The Double Album,ZACHT,"5,9",,,,4,,,,,"7,8",,,,,,,,,,,,,,,,,,,
8-1-2021,Passenger,Songs for the Drunk and Broken Hearted,ZACHT,"5,4",3,"6,5",4,5,,,,6,7,"6,5",,,,,,,,,,,,,,,,,,
8-1-2021,Petite League,Joyrider,HARD,"7,0",,"7,4",6,"6,5",9,,"6,5","7,5","6,3",,,,,,,,,,,,,,,,,,,
8-1-2021,Tony Glausi,When It All Comes Crashing Down,ZACHT,"6,9",,"6,3",7,8,,,,7,6,,,,,,,,,,,,,,,,,,,
8-1-2021,Viagra Boys,Welfare Jazz,HARD,"7,2",8,"8,2",8,"7,5","6,5",7,"7,5","7,5","6,8","4,5",,,,,,,,,,,,,,,,,,
10-1-2021,Scale & Feather,A Slow Forest Burning,HARD,"7,7",,,,,,,,8,8,,7,,,,,,,,,,,,,,,,,
11-1-2021,Cheekface,Empathically No.,GEK,"8,5",,,,,"8,5",,,,,,,,,,,,,,,,,,,,,,,
11-1-2021,Kultika,Capricorn Wolves,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-1-2021,Treasure,THE FIRST STEP: TREASURE EFFECT,DANS,"5,3",,,,2,,,,,"7,5","6,5",,,,,,,,,,,,,,,,,,
11-1-2021,Victon,Voice: The Future Is Now,ZACHT,"5,6",,,,2,,,,,"7,8",7,,,,,,,,,,,,,,,,,,
12-1-2021,Hospital Bracelet,South Loop Summer,HARD,"6,9",,,6,"5,5",9,,,7,"7,5","6,5",,,,,,,,,,,,,,,,,,
12-1-2021,Okcomputer12127,(),, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-1-2021,Death Cab for Cutie,The Georgia EP,ZACHT,"7,5","6,5","7,5",,"8,5",,,,"6,5","8,5",8,,7,,,,,,,,,,,,,,,,
13-1-2021,Healy,Tungsten,ZACHT,"7,1",,,7,8,"7,5",,"7,5",6,6,,"7,5",,,,,,,,,,,,,,,,,
14-1-2021,Ray Fuego,HEMELSCHIP,GEK,"4,7",6,,4,,,,,,4,,,,,,,,,,,,,,,,,,,
15-1-2021,Accept,Too Mean to Die,HARD,"6,7",,,,3,,,,,9,,,,,,,8,,,,,,,,,,,,
15-1-2021,Beach Bunny,Blame Game (EP),HARD,"7,3",,,,,8,,"6,5",,,,,,,,,,,,,,,,,,,,,
15-1-2021,Benjamin Ingrosso,En gång i tiden,ZACHT,"5,5",,,,5,,,,,"5,5",6,,,,,,,,,,,,,,,,,,
15-1-2021,Blackout Problems,Dark,HARD,"7,1",,,,"6,5",,,,,"7,7",,,,,,,,,,,,,,,,,,,
15-1-2021,Buck Meek,Two Saviors,ZACHT,"7,0","7,5","7,8",,7,,8,,,6,"5,5",,,,,,,,,,,,,,,,,,
15-1-2021,Daniel Norgren,Live,,"7,6",8,,,,,,"8,3",,6,,,,,8,,,,,,,,,,,,,,
